
代码: stockCode , VARCHAR(6) , bs.stockCode
递延所得税负债 : id_113 , DOUBLE , bs.ditl
其他非流动负债 : id_114 , DOUBLE , bs.oncl
三、 所有者权益合计 : id_115 , DOUBLE , bs.toe
股东权益占比 : id_116 , DOUBLE , bs.toe_ta_r
股本 : id_117 , DOUBLE , bs.sc
其他权益工具 : id_118 , DOUBLE , bs.oei
(其中) 优先股 : id_119 , DOUBLE , bs.psioei
(其中) 永续债 : id_120 , DOUBLE , bs.pcsioei
资本公积 : id_121 , DOUBLE , bs.capr
减： 库存股 : id_122 , DOUBLE , bs.is
其他综合收益 : id_123 , DOUBLE , bs.oci
专项储备 : id_124 , DOUBLE , bs.rr
盈余公积 : id_125 , DOUBLE , bs.surr
一般风险准备金 : id_126 , DOUBLE , bs.pogr
未分配利润 : id_127 , DOUBLE , bs.rtp
归属于母公司股东及其他权益持有者的权益合计 : id_128 , DOUBLE , bs.tetshaoehopc
归属于母公司普通股股东权益合计 : id_129 , DOUBLE , bs.tetoshopc
归属于母公司普通股股东的每股股东权益 : id_130 , DOUBLE , bs.tetoshopc_ps
少数股东权益 : id_131 , DOUBLE , bs.etmsh
四、 员工情况: id_132 , VARCHAR(1) , bs.None
员工人数 : id_133 , DOUBLE , bs.ep_stn
博士人数 : id_134 , DOUBLE , bs.ep_pn
硕士人数 : id_135 , DOUBLE , bs.ep_mn
学士人数 : id_136 , DOUBLE , bs.ep_bn
大专人数 : id_137 , DOUBLE , bs.ep_jcn
高中及以下人数 : id_138 , DOUBLE , bs.ep_hsabn
生产人员人数 : id_139 , DOUBLE , bs.ep_psn
销售人员人数 : id_140 , DOUBLE , bs.ep_spn
技术人员人数 : id_141 , DOUBLE , bs.ep_tsn
财务人员人数 : id_142 , DOUBLE , bs.ep_fon
行政人员人数 : id_143 , DOUBLE , bs.ep_asn
其他人员人数 : id_144 , DOUBLE , bs.ep_osn
五、 股本、股东和估值: id_145 , VARCHAR(1) , bs.None
市值 : id_146 , DOUBLE , bs.mc
总股本 : id_147 , DOUBLE , bs.tsc
流通股本 : id_148 , DOUBLE , bs.csc
股东人数(季度) : id_149 , DOUBLE , bs.shn
第一大股东持仓占总股本比例 : id_150 , DOUBLE , bs.shbt1sh_tsc_r
前十大股东持仓占总股本比例 : id_151 , DOUBLE , bs.shbt10sh_tsc_r
前十大流通股东持仓占流通股本比例 : id_152 , DOUBLE , bs.shbt10sh_csc_r
公募基金持仓占流通股本比例 : id_153 , DOUBLE , bs.shbpoof_csc_r
公募基金+自由流通股东持仓占自由流通股本比例 : id_154 , DOUBLE , bs.shbeosh_poof_ecsc_r
PE-TTM : id_155 , DOUBLE , bs.pe_ttm
PE-TTM(扣非) : id_156 , DOUBLE , bs.d_pe_ttm
PB : id_157 , DOUBLE , bs.pb
PB(不含商誉) : id_158 , DOUBLE , bs.pb_wo_gw
PS-TTM : id_159 , DOUBLE , bs.ps_ttm
股息率 : id_160 , DOUBLE , bs.dyr
分红率 : id_161 , DOUBLE , bs.d_np_r
