
首次上传日期_fs | first_update_fs
PE-TTM | id_150_bs_pe_ttm
PE-TTM(扣非) | id_151_bs_d_pe_ttm
PB | id_152_bs_pb
PB(不含商誉) | id_153_bs_pb_wo_gw
PS-TTM | id_154_bs_ps_ttm
股息率 | id_155_bs_dyr
分红率 | id_156_bs_d_np_r
一、 营业总收入 | id_157_ps_toi
营业收入 | id_158_ps_oi
利息收入 | id_159_ps_ii
已赚保费 | id_160_ps_ep
手续费及佣金收入 | id_161_ps_faci
其他业务收入 | id_162_ps_ooi
二、 营业总成本 | id_163_ps_toc
营业成本 | id_164_ps_oc
毛利率(GM) | id_165_ps_gp_m
利息支出 | id_166_ps_ie
手续费及佣金支出 | id_167_ps_face
退保金 | id_168_ps_s
保险合同赔付支出 | id_169_ps_ce
提取保险责任准备金净额 | id_170_ps_iiicr
保单红利支出 | id_171_ps_phdrfpip
分保费用 | id_172_ps_rie
税金及附加 | id_173_ps_tas
销售费用 | id_174_ps_se
管理费用 | id_175_ps_ae
研发费用 | id_176_ps_rade
财务费用 | id_177_ps_fe
(其中) 利息费用 | id_178_ps_ieife
(其中) 利息收入 | id_179_ps_iiife
销售费用率 | id_180_ps_se_r
管理费用率 | id_181_ps_ae_r
研发费用率 | id_182_ps_rade_r
财务费用率 | id_183_ps_fe_r
总营业费用率 | id_184_ps_oe_r
三项费用率 | id_185_ps_te_r
加： 其他收益 | id_186_ps_oic
投资收益 | id_187_ps_ivi
(其中) 对联营企业及合营企业的投资收益 | id_188_ps_iifaajv
(其中) 以摊余成本计量的金融资产终止确认产生的投资收益 | id_189_ps_iftdofamaac
汇兑收益 | id_190_ps_ei
净敞口套期收益 | id_191_ps_nehb
公允价值变动收益 | id_192_ps_ciofv
信用减值损失 | id_193_ps_cilor
资产减值损失 | id_194_ps_ailor
其他资产减值损失 | id_195_ps_oail
资产处置收益 | id_196_ps_adi
其他业务成本 | id_197_ps_ooe
核心利润 | id_198_ps_cp
核心利润率 | id_199_ps_cp_r
三、 营业利润 | id_200_ps_op
营业利润率 | id_201_ps_op_s_r
其他营业利润率 | id_202_ps_op_op_r
加： 营业外收入 | id_203_ps_noi
(其中) 非流动资产毁损报废利得 | id_204_ps_ncadarg
减： 营业外支出 | id_205_ps_noe
(其中) 非流动资产毁损报废损失 | id_206_ps_ncadarl
四、 利润总额 | id_207_ps_tp
研发费占利润总额比值 | id_208_ps_rade_tp_r
减： 所得税费用 | id_209_ps_ite
有效税率 | id_210_ps_ite_tp_r
五、 净利润 | id_211_ps_np
净利润率 | id_212_ps_np_s_r
息税前净利润(EBIT) | id_213_ps_ebit
(一) 持续经营净利润 | id_214_ps_npfco
(二) 终止经营净利润 | id_215_ps_npfdco
归属于母公司股东及其他权益持有者的净利润 | id_216_ps_npatshaoehopc
归属于母公司普通股股东的净利润 | id_217_ps_npatoshopc
少数股东损益 | id_218_ps_npatmsh
归属于母公司普通股股东的扣除非经常性损益的净利润 | id_219_ps_npadnrpatoshaopc
扣非净利润占比 | id_220_ps_npadnrpatoshaopc_npatoshopc_r
归属于母公司普通股股东的加权ROE | id_221_ps_wroe
归属于母公司普通股股东的扣非加权ROE | id_222_ps_wdroe
六、 基本每股收益 | id_223_ps_beps
稀释每股收益 | id_224_ps_deps
七、 综合收益总额 | id_225_ps_tci
归属于母公司股东及其他权益持有者的综合收益总额 | id_226_ps_tciatshaoehopc
归属于母公司普通股股东的综合收益总额 | id_227_ps_tciatoshopc
归属于少数股东的综合收益总额 | id_228_ps_tciatmsh
其他综合收益的税后净额 | id_229_ps_natooci
一、 经营活动产生的现金流量 | id_230
销售商品、提供劳务收到的现金 | id_231_cfs_crfscapls
发放贷款及垫款的净减少额 | id_232_cfs_ndilaatc
客户存款和同业及其他金融机构存放款项净增加额 | id_233_cfs_niicdadfbaofi
向中央银行借款净增加额 | id_234_cfs_niibfcb
向其他金融机构拆入资金净增加额 | id_235_cfs_niipfofi
收到原保险合同保费取得的现金 | id_236_cfs_crfp
收到再保险业务现金净额 | id_237_cfs_ncrfrib
保户储金及投资款净增加额 | id_238_cfs_niiphd
为交易目的而持有的金融资产净减少额 | id_239_cfs_ndifahftp
拆入资金净增加额 | id_240_cfs_niipfbaofi
卖出回购业务资金净增加额 | id_241_cfs_niifasurpaioa
收取利息、手续费及佣金的现金 | id_242_cfs_crfifac
代理买卖证券收到的现金净额 | id_243_cfs_ncrfstoa
收到的税费返还 | id_244_cfs_crfwbot
收到的其他与经营活动有关现金 | id_245_cfs_crrtooa
经营活动现金流入小计 | id_246_cfs_stciffoa
购买商品、接收劳务支付的现金 | id_247_cfs_cpfpcarls
发放贷款及垫款的净增加额 | id_248_cfs_niilaatc
存放中央银行和同业及其他金融机构款项净增加额 | id_249_cfs_niibwcbbaofi
向其他金融机构拆入资金净减少额 | id_250_cfs_ndipfofi
支付原保险合同赔付等款项的现金 | id_251_cfs_cpfc
拆出资金增加额 | id_252_cfs_niipwbaofi
买入返售金融资产净增加额 | id_253_cfs_niifahursaioa
支付保单红利的现金 | id_254_cfs_cpfphd
为交易目的而持有的金融资产净增加额 | id_255_cfs_niifahftp
支付利息、手续费及佣金的现金 | id_256_cfs_cpfifac
支付给职工及为职工支付的现金 | id_257_cfs_cptofe
支付的各种税费 | id_258_cfs_cpft
支付的其他与经营活动有关现金 | id_259_cfs_cprtooa
经营活动现金流出小计 | id_260_cfs_stcoffoa
经营活动产生的现金流量净额 | id_261_cfs_ncffoa
二、 投资活动产生的现金流量金额 | id_262
收回投资收到的现金 | id_263_cfs_crfrci
取得投资收益所收到的现金 | id_264_cfs_crfii
处置固定资产、无形资产及其他长期资产收到的现金 | id_265_cfs_crfdofiaolta
处置子公司、合营联营企业及其他营业单位收到的现金净额 | id_266_cfs_ncrfdossajvaou
(其中) 处置子公司或其他营业单位收到的现金净额 | id_267_cfs_ncrfdossaou
(其中) 处置合营或联营公司所收到的现金 | id_268_cfs_ncrfdoaajv
收到的其他与投资活动相关的现金 | id_269_cfs_crrtoia
投资活动现金流入小计 | id_270_cfs_stcifia
购建固定资产、无形资产及其他长期资产所支付的现金 | id_271_cfs_cpfpfiaolta
投资所支付的现金 | id_272_cfs_cpfi
质押贷款净增加额 | id_273_cfs_niipl
取得子公司、合营联营企业及其他营业单位支付的现金净额 | id_274_cfs_ncpfbssajvaou
(其中) 取得子公司及其营业单位支付的现金净额 | id_275_cfs_ncpfbssaou
(其中) 取得联营及合营公司支付的现金净额 | id_276_cfs_ncpfbajv
支付的其他与投资活动有关的现金 | id_277_cfs_cprtoia
投资活动现金流出小计 | id_278_cfs_stcoffia
投资活动产生的现金流量净额 | id_279_cfs_ncffia
三、 筹资活动产生的现金流量 | id_280
吸收投资收到的现金 | id_281_cfs_crfai
(其中) 子公司吸收少数股东投资收到的现金 | id_282_cfs_crfamshibss
取得借款收到的现金 | id_283_cfs_crfl
发行债券收到的现金 | id_284_cfs_crfib
收到的其他与筹资活动有关的现金 | id_285_cfs_crrtofa
筹资活动产生的现金流入小计 | id_286_cfs_stcifffa
偿付债务支付的现金 | id_287_cfs_cpfbrp
分配股利、利润或偿付利息所支付的现金 | id_288_cfs_cpfdapdoi
(其中) 子公司支付少数股东股利及利润 | id_289_cfs_cpfdapomshpbss
支付的其他与筹资活动有关的现金 | id_290_cfs_cprtofa
筹资活动产生的现金流出小计 | id_291_cfs_stcofffa
筹资活动产生的现金流量净额 | id_292_cfs_ncfffa
四、 汇率变动对现金及现金等价物的影响 | id_293_cfs_iocacedtfier
期初现金及现金等价物的余额 | id_294_cfs_bocaceatpb
现金及现金等价物的净增加额 | id_295_cfs_niicace
期末现金及现金等价物净余额 | id_296_cfs_bocaceatpe
五、 附注 | id_297
净利润 | id_298_cfs_np
加： 资产减值准备 | id_299_cfs_ioa
信用减值损失 | id_300_cfs_cilor
固定资产折旧、油气资产折耗、生产性生物资产折旧 | id_301_cfs_dofx_dooaga_dopba
投资性房地产的折旧及摊销 | id_302_cfs_daaorei
无形资产摊销 | id_303_cfs_aoia
长期待摊费用摊销 | id_304_cfs_aoltde
处置固定资产、无形资产和其他长期资产的损失 | id_305_cfs_lodofaiaaolta
固定资产报废损失 | id_306_cfs_lfsfa
公允价值变动损失 | id_307_cfs_lfcifv
财务费用 | id_308_cfs_fe
投资损失 | id_309_cfs_il
递延所得税资产减少 | id_310_cfs_didita
递延所得税负债增加 | id_311_cfs_iiditl
存货的减少 | id_312_cfs_dii
经营性应收项目的减少 | id_313_cfs_dior
经营性应付项目的增加 | id_314_cfs_iiop
其他 | id_315_cfs_o
债务转为资本 | id_316_cfs_coditc
一年内到期的可转换公司债券 | id_317_cfs_cbdwioy
融资租入固定资产 | id_318_cfs_flofa
一、 人均指标 | id_319
员工人数 | id_320_m_ep_stn
人均营业总收入 | id_321_m_toi_pc
